country,year,CPI,PPI,Share_Prices,Interest_Rate,GDP_per_capita,Exchange_Rate,Unemployment,Expenditure,Manufacturing
Vietnam,2007,69.6949931,68.21344,207.7759569,1.413637869,1145.140078,16083.31699,2.03,87654582004,17021082999
Vietnam,2008,85.80530323,87.234401,99.33864726,-5.616335289,1198.417061,16445.24435,1.79,1.12E+11,18686378154
Vietnam,2009,91.56883061,88.79,89.08922427,3.627881414,1250.795789,17799.81353,1.74,1.18E+11,19202525094
Vietnam,2010,100,100,100,0.946652654,1317.890646,19125.10669,1.11,1.25E+11,15008931942
Vietnam,2011,118.6777323,118.43,88.85790526,-3.551709174,1385.893145,20656.69737,1,1.38E+11,17121980673
Vietnam,2012,129.47112,122.5,85.13191876,2.294892164,1443.501633,20873.12904,1.03,1.52E+11,18671066206
Vietnam,2013,138.0067299,128.93,103.9144051,5.35841613,1505.825534,21029.03505,1.32,1.68E+11,20018195214
Vietnam,2014,143.6436899,133.13,112.357206,4.825874155,1579.20193,21198.86359,1.26,1.84E+11,21500767797
Vietnam,2015,144.5503702,132.35,119.2349999,7.322258132,1667.171783,21920.17751,1.85,1.97E+11,23779830272
Vietnam,2016,148.4073328,131.54,136.911342,5.785098663,1752.499924,22364.71137,1.85,2.09E+11,26609639316
Vietnam,2017,153.6316522,134.5412,153.262987,2.864667564,1852.884669,22713.71825,1.87,2.26E+11,30441440701
Vietnam,2018,159.0696412,140.2466,180.2245211,3.843174859,1964.361592,23014.94944,1.16,2.47E+11,34393964703
Vietnam,2019,163.5169479,155.2678,171.75243,5.814896245,2082.243651,23226.25885,2.04,2.66E+11,38277020817
