"country","year","Life_expectancy_at_birth","Real_interest_rate (%)","Gross_Savings (%)","Debt (%)","Investment (%)","Government_Expenditure (billions)","Net_Export (billions)","GDP (billions)"
"United States",1990,75.2146341463415,6.03974920024778,18.756045468632,70.1307167919799,21.529,948.186,-80.852,5963.144
"United States",1991,75.3658536585366,4.91534648240575,18.8100151848069,68.5866516290727,20.111,1004.857,-31.18,6158.129
"United States",1992,75.6170731707317,3.88423803806005,17.6815219543437,67.0425864661654,20.078,1048.383,-39.2071,6520.327
"United States",1993,75.419512195122,3.54561722959168,17.0434226781457,65.4985213032581,20.394,1073.04,-70.311,6858.559
"United States",1994,75.619512195122,4.898309954362,17.8520305915713,63.9544561403509,21.279,1108.101,-98.511,7287.236
"United States",1995,75.6219512195122,6.5939963828891,18.7477978661341,62.4103909774436,21.273,1141.743,-96.387,7639.749
"United States",1996,76.0268292682927,6.32407370913164,19.6380792957173,60.8663258145363,21.702,1172.889,-104.035,8073.122
"United States",1997,76.4292682926829,6.53661498804258,20.8321463764273,59.3222606516291,22.41,1220.528,-108.288,8577.554457
"United States",1998,76.5804878048781,7.1481919123237,21.3776869050782,57.7781954887218,22.958,1267.607,-166.13,9062.818202
"United States",1999,76.5829268292683,6.4571348015229,20.9046017779533,56.2341303258145,23.42,1351.427,-255.813,9630.664202
"United States",2000,76.6365853658537,6.84484418755139,20.7956024061657,54.6900651629073,23.675,1437.588,-369.689,10252.345464
"United States",2001,76.8365853658537,4.62675686396421,19.6071821831738,53.146,22.177,1538.151,-360.373,10581.821399
"United States",2002,76.9365853658537,3.04507118458628,18.348583664285,55.504,21.708,1645.819,-420.666,10936.419054
"United States",2003,77.0365853658537,2.22410112310282,17.3466634255906,58.586,21.742,1746.378,-496.251,11458.243878
"United States",2004,77.4878048780488,1.60458893576253,17.6746919308444,66.094,22.659,1851.92,-610.833,12213.729147
"United States",2005,77.4878048780488,2.98135677415587,18.09763833607,65.455,23.381,1962.027,-716.537,13036.64023
"United States",2006,77.6878048780488,4.78644765750077,19.2042390516421,64.186,23.539,2072.953,-763.533,13814.611414
"United States",2007,77.9878048780488,5.22340584151622,17.357324477835,64.655,22.592,2198.532,-711,14451.858656
"United States",2008,78.0390243902439,3.08241133651995,14.8522337865074,73.684,21.119,2353.44,-712.352,14712.844084
"United States",2009,78.390243902439,2.46882889478265,13.6744283926114,86.705,17.805,2433.429,-394.779,14448.933025
"United States",2010,78.5414634146342,2.06073671062756,15.0588784678839,95.408,18.743,2511.046,-503.078,14992.052727
"United States",2011,78.6414634146341,1.1373383192166,16.2289389588634,99.745,19.104,2511.311,-554.517,15542.581104
"United States",2012,78.7414634146342,1.30708311280131,18.6218844939045,103.223,20.021,2515.439,-525.907,16197.007349
"United States",2013,78.7414634146342,1.46929925051209,19.0100367464749,104.757,20.414,2532.646,-446.824,16784.849196
"United States",2014,78.8414634146341,1.37474217085635,20.2942247924273,104.448,20.779,2566.254,-484.145,17527.163695
"United States",2015,78.690243902439,2.28569648741529,20.4080637114102,104.687,21.041,2608.983,-491.262,18238.300569
"United States",2016,78.5390243902439,2.43685070473409,19.2169029357305,106.872,20.32,2663.108,-481.172,18745.075687
"United States",2017,78.5390243902439,2.17569426533145,19.892826797778,106.226,20.586,2730.69,-513.785,19542.979183
"United States",2018,78.6390243902439,2.44449371999786,19.6522478633564,105.773,21.117,2869.417,-579.939,20611.860934
"United States",2019,78.7878048780488,3.43601046885253,19.3517963751883,106.702,21.562,2973.918,-576.865,21433.224697
"Vietnam",1980,67.542,3.75912605238754,29.4292496882528,45.6354,14.3,5.4433869089928,0.16543105,79.3420874670116
"Vietnam",1981,67.942,4.43744003443803,28.8706371086164,44.92523,14.3,4.89343533396612,-0.022158390625,66.2926075377582
"Vietnam",1982,68.203,5.11575401648852,28.31202452898,44.21506,14.3,4.34348375893945,-0.20974783125,53.2431276085047
"Vietnam",1983,68.439,5.79406799853901,27.7534119493435,43.50489,14.3,3.79353218391277,-0.397337271875,40.1936476792513
"Vietnam",1984,68.688,6.4723819805895,27.1947993697071,42.79472,14.3,3.2435806088861,-0.5849267125,27.1441677499979
"Vietnam",1985,68.972,7.15069596263999,26.6361867900707,42.08455,14.3,2.69362903385942,-0.772516153125,14.0946878207445
"Vietnam",1986,69.293,7.82900994469048,26.0775742104343,41.37438,14.3,2.14367745883275,-0.96010559375,26.3366162504397
"Vietnam",1987,69.624,8.50732392674097,25.5189616307979,40.66421,14.3,1.59372588380607,-1.147695034375,36.6581088503148
"Vietnam",1988,69.943,9.18563790879146,24.9603490511615,39.95404,14.3,1.0437743087794,-1.335284475,25.4238126485941
"Vietnam",1989,70.252,9.86395189084194,24.4017364715251,39.24387,13.594,0.49382273375272,-1.522873915625,6.29330497459403
"Vietnam",1990,70.551,10.5422658728924,23.8431238918887,38.5337,1.177,0.798574724935976,-1.71046335625,6.47174080556984
"Vietnam",1991,70.842,11.2205798549429,23.2845113122523,37.82353,8.587,0.777521541946021,-1.898052796875,9.61336952041885
"Vietnam",1992,71.124,11.8988938369934,22.7258987326158,37.11336,11.22,0.568727554681624,-2.0856422375,9.86699023643587
"Vietnam",1993,71.399,12.5772078190439,22.1672861529794,36.40319,25.12,0.965984242699907,-2.273231678125,13.1809535981716
"Vietnam",1994,71.666,11.8817607589173,21.608673573343,35.69302,25.476,1.34444675037102,-2.46082111875,16.2864335333228
"Vietnam",1995,71.923,11.1863136987907,21.0500609937066,34.98285,27.144,1.69781581761351,-2.648410559375,20.7361644589505
"Vietnam",1996,72.168,10.4908666386641,20.4914484140702,34.27268,28.103,2.05953273243053,-2.836,24.6574705747501
"Vietnam",1997,72.399,7.33532106231945,21.5643368475845,33.56251,28.3,2.18260255548694,-1.87,26.8437004415482
"Vietnam",1998,72.617,5.11047871283137,23.7691530463108,32.85234,29.05,2.0743895085921,-1.519,27.2096020500452
"Vietnam",1999,72.824,6.58752233761721,27.3516988190788,32.14217,27.63,1.94625334290187,0.425,28.6836590067752
"Vietnam",2000,73.025,6.90576665423206,39.1636376441992,31.432,29.61,2.00073408716574,-0.175,31.1725184033162
"Vietnam",2001,73.228,6.62403546577856,39.2753834767658,32.277,31.173,2.06877114674702,-0.091,32.6851987353053
"Vietnam",2002,73.438,4.16693711887616,40.7688315608796,35.186,33.221,2.18528093196767,-1.804,35.0641055008344
"Vietnam",2003,73.654,2.21305791805583,39.4941250334261,37.882,35.445,2.4997447868248,-3.359,39.5525133160734
"Vietnam",2004,73.875,1.18892233902686,42.2633006349581,37.446,33.45,2.90327702273593,-3.159,45.4278546932554
"Vietnam",2005,74.092,-6.55288740482219,33.0750336647334,36.542,33.757,3.14977377994551,-2.735189,57.6332556182731
"Vietnam",2006,74.295,2.40151726058343,33.3307633776547,38.407,34.537,3.6721946949685,-2.7837418,66.3716648170436
"Vietnam",2007,74.474,1.41363786949707,31.8402168926241,40.897,39.566,4.29968721136905,-11.1931,77.4144255322452
"Vietnam",2008,74.625,-5.6163352894178,27.9004725574194,39.419,36.493,5.57616279961355,-13.733,99.1303040991274
"Vietnam",2009,74.745,3.6278814144413,19.169546406537,45.167,37.163,6.12595896323577,-10.028,106.014659770222
"Vietnam",2010,74.837,0.946652654430796,30.4351805695125,48.084,35.694,6.9474871716371,-7.597,115.931749697241
"Vietnam",2011,74.904,-3.55170917395718,29.8395318772753,45.561,29.751,8.01194553809773,-3.43,135.539438559709
"Vietnam",2012,74.958,2.2948921638843,30.8324914595003,48.13,27.243,9.23574034952948,7.446,155.820001920492
"Vietnam",2013,75.006,5.3584161299058,29.6365329896615,51.674,26.676,10.5401809538335,5.604,171.222025117381
"Vietnam",2014,75.056,4.82587415533702,28.3388685619789,54.716,26.833,11.6659258558729,8.596,186.204652922262
"Vietnam",2015,75.11,7.32225813166854,24.4529262784585,57.098,27.581,12.2384686670522,2.609,193.241108709536
"Vietnam",2016,75.172,5.78509866279127,24.6532046512196,59.662,26.578,13.3624795673588,6.784,205.276172134901
"Vietnam",2017,75.241,2.86466756426516,22.1858299207966,58.223,26.582,14.5642707768316,6.816,223.779865815183
"Vietnam",2018,75.317,3.84317485917655,23.3673594272988,57.542,26.567,15.8654635309629,12.860129,245.213686369157
"Vietnam",2019,75.4,5.81489624545902,23.102118406123,57.363,26.043,16.9217748376148,19.143247,261.921244843172
